Date,Open,High,Low,Close,Adj Close,Volume
2022-07-19,354.950012,361.089996,354.250000,360.609985,355.854126,3620200
2022-07-20,360.700012,364.239990,359.450012,362.920013,358.133728,4270600
2022-07-21,362.359985,366.619995,360.010010,366.589996,361.755310,4604000
2022-07-22,366.690002,367.839996,361.010010,363.250000,358.459320,4533900
2022-07-25,363.839996,364.440002,361.450012,363.609985,358.814575,3902200
2022-07-26,362.119995,362.209991,358.450012,359.250000,354.512085,2987200
2022-07-27,362.489990,370.329987,362.220001,368.660004,363.798004,4500300
2022-07-28,369.420013,373.910004,365.980011,373.320007,368.396545,4345300
2022-07-29,374.730011,379.660004,373.929993,378.790009,373.794403,5246400
2022-08-01,376.119995,380.010010,375.440002,377.649994,372.669434,4421400
2022-08-02,376.109985,379.630005,373.950012,375.209991,370.261597,4132600
2022-08-03,377.190002,382.100006,376.910004,381.070007,376.044312,3854800
2022-08-04,380.880005,381.529999,379.190002,380.769989,375.748291,3410600
2022-08-05,376.649994,380.700012,376.540009,379.980011,374.968689,2852100
2022-08-08,381.779999,383.910004,378.570007,379.640015,374.633209,3450800
2022-08-09,379.019989,379.410004,377.100006,378.140015,373.152985,2360500
2022-08-10,384.989990,386.230011,383.100006,386.059998,380.968536,3651000
2022-08-11,388.869995,390.649994,385.399994,386.059998,380.968536,3575400
2022-08-12,387.950012,392.720001,387.089996,392.670013,387.491333,3664400
2022-08-15,390.489990,394.760010,390.459991,394.350006,389.149200,3203900
2022-08-16,393.239990,396.890015,392.440002,395.040009,389.830078,3864800
2022-08-17,391.559998,394.850006,390.290009,392.339996,387.165680,3222300
2022-08-18,392.420013,394.019989,391.170013,393.549988,388.359741,3258100
2022-08-19,390.700012,390.950012,387.250000,388.119995,383.001373,2899000
2022-08-22,383.429993,383.540009,379.089996,379.940002,374.929260,4153700
2022-08-23,379.559998,381.869995,378.519989,379.040009,374.041107,2869200
2022-08-24,378.899994,381.579987,378.179993,380.190002,375.175964,2241200
2022-08-25,381.760010,385.730011,380.700012,385.730011,380.642853,2631300
2022-08-26,385.549988,386.049988,372.510010,372.510010,367.597229,5153200
2022-08-29,369.769989,373.049988,368.779999,370.049988,365.169647,4953200
2022-08-30,371.299988,371.450012,364.019989,366.029999,361.202698,5044500
2022-08-31,367.609985,368.790009,363.109985,363.149994,358.360687,4062500
2022-09-01,361.100006,364.700012,358.510010,364.269989,359.465881,6126800
2022-09-02,367.950012,369.130005,358.779999,360.450012,355.696289,4544200
2022-09-06,361.359985,362.279999,357.000000,359.239990,354.502228,5680300
2022-09-07,358.859985,366.380005,358.690002,365.679993,360.857330,4137000
2022-09-08,363.380005,368.480011,362.269989,368.070007,363.215790,3692000
2022-09-09,370.239990,374.609985,369.980011,373.750000,368.820862,2621600
2022-09-12,375.820007,378.510010,375.510010,377.859985,372.876648,2961400
2022-09-13,369.339996,370.529999,360.279999,361.380005,356.614014,5549200
2022-09-14,362.579987,364.170013,359.529999,362.730011,357.946198,3555500
2022-09-15,361.160004,363.970001,357.399994,358.679993,353.949615,3807500
2022-09-16,354.559998,356.480011,352.690002,355.859985,351.166809,4452300
2022-09-19,352.799988,358.589996,352.750000,358.589996,353.860809,3412600
2022-09-20,355.380005,356.380005,351.829987,354.549988,349.874084,3624000
2022-09-21,356.380005,359.299988,348.309998,348.309998,343.716370,5102400
2022-09-22,347.549988,348.540009,344.670013,345.369995,340.815155,5555600
2022-09-23,342.079987,342.079987,335.309998,339.630005,335.150848,10491500
2022-09-26,338.230011,341.660004,335.070007,336.339996,331.904236,5405700
2022-09-27,339.790009,341.839996,333.079987,335.390015,330.966797,5795700
2022-09-28,334.799988,342.100006,333.179993,340.480011,337.467743,8683900
2022-09-29,337.149994,337.299988,330.529999,333.380005,330.430573,7230100
2022-09-30,332.570007,336.190002,328.119995,328.299988,325.395477,7736600
2022-10-03,331.790009,338.660004,330.100006,336.980011,333.998718,5739000
2022-10-04,342.140015,347.329987,342.130005,347.209991,344.138184,5110000
2022-10-05,343.119995,348.640015,340.859985,346.609985,343.543518,4755800
2022-10-06,345.179993,347.980011,342.489990,342.959991,339.925812,3879600
2022-10-07,339.079987,339.339996,331.649994,333.329987,330.381012,5168100
2022-10-10,334.470001,334.670013,328.660004,330.839996,327.913025,3933900
2022-10-11,329.200012,333.559998,326.850006,328.660004,325.752319,4968100
2022-10-12,329.149994,330.579987,327.440002,327.640015,324.741364,3235100
2022-10-13,320.839996,337.679993,319.869995,336.220001,333.245453,6396900
2022-10-14,338.619995,340.190002,328.029999,328.649994,325.742401,4879400
2022-10-17,334.570007,338.100006,334.459991,337.000000,334.018555,3889500
2022-10-18,344.679993,345.000000,337.769989,340.970001,337.953430,4903300
2022-10-19,339.040009,341.670013,335.899994,338.609985,335.614258,4403200
2022-10-20,338.170013,342.420013,335.049988,335.829987,332.858856,3459100
2022-10-21,335.500000,344.390015,334.130005,343.899994,340.857483,4362400
2022-10-24,345.450012,349.230011,342.869995,348.089996,345.010437,5639400
2022-10-25,348.049988,354.029999,348.029999,353.750000,350.620361,5203400
2022-10-26,350.700012,356.170013,350.440002,351.109985,348.003693,4277700
2022-10-27,352.049988,353.790009,348.600006,349.230011,346.140350,4145300
2022-10-28,349.040009,357.980011,348.950012,357.380005,354.218231,4388100
2022-10-31,355.160004,356.920013,354.049988,354.950012,351.809723,6431000
2022-11-01,358.529999,358.769989,352.290009,353.519989,350.392395,8014300
2022-11-02,352.779999,357.130005,344.410004,344.500000,341.452179,5022500
2022-11-03,341.339996,343.809998,338.899994,340.829987,337.814667,4534800
2022-11-04,346.410004,348.019989,340.000000,345.820007,342.760498,3655400
2022-11-07,347.059998,349.709991,345.100006,349.140015,346.051147,3316600
2022-11-08,350.209991,353.869995,347.079987,351.040009,347.934326,3237200
2022-11-09,349.079987,350.220001,343.359985,343.869995,340.827759,3570800
2022-11-10,356.519989,363.010010,354.410004,362.690002,359.481262,4603600
2022-11-11,363.690002,367.019989,361.739990,366.160004,362.920563,4877400
2022-11-14,364.570007,367.790009,362.890015,363.220001,360.006561,5274300
2022-11-15,368.649994,369.739990,362.589996,366.220001,362.980011,4597800
2022-11-16,364.700012,365.519989,362.850006,363.440002,360.224609,2755100
2022-11-17,358.799988,362.989990,358.570007,362.390015,359.183899,3278500
2022-11-18,365.459991,365.589996,361.230011,363.989990,360.769745,2574400
2022-11-21,362.769989,363.739990,360.869995,362.709991,359.501068,2397900
2022-11-22,364.510010,367.679993,363.209991,367.540009,364.288361,2316000
2022-11-23,367.209991,370.359985,367.019989,369.839996,366.567993,2590900
2022-11-25,369.390015,370.339996,369.059998,369.799988,366.528351,1423400
2022-11-28,366.859985,368.380005,363.149994,363.950012,360.730133,3553600
2022-11-29,363.929993,365.179993,361.480011,363.309998,360.095764,2507800
2022-11-30,363.450012,374.589996,361.649994,374.489990,371.176849,4748800
2022-12-01,375.869995,377.000000,372.049988,374.540009,371.226440,4608600
2022-12-02,369.660004,374.880005,369.660004,374.000000,370.691193,3596000
2022-12-05,371.279999,372.190002,365.989990,367.339996,364.090118,3707000
2022-12-06,367.089996,367.609985,359.929993,362.029999,358.827118,3911000
2022-12-07,361.049988,363.609985,360.309998,361.329987,358.133270,3338000
2022-12-08,363.130005,365.149994,361.600006,364.179993,360.958069,3604500
2022-12-09,363.000000,365.440002,361.339996,361.519989,358.321594,4271400
2022-12-12,362.279999,366.679993,361.579987,366.679993,363.435944,2946200
2022-12-13,377.109985,377.190002,366.799988,369.390015,366.121979,6161800
2022-12-14,369.100006,372.799988,364.250000,367.160004,363.911713,4707100
2022-12-15,362.470001,363.239990,356.459991,358.130005,354.961609,5126800
2022-12-16,355.649994,356.829987,351.790009,353.859985,350.729370,4533100
2022-12-19,354.130005,354.339996,349.250000,350.809998,347.706360,5538500
2022-12-20,348.450012,351.170013,347.209991,349.670013,348.236206,5068200
2022-12-21,352.200012,355.950012,351.700012,354.899994,353.444733,3832400
2022-12-22,351.980011,352.250000,344.339996,349.910004,348.475189,6458200
2022-12-23,348.929993,351.950012,347.350006,351.869995,350.427155,4572000
2022-12-27,351.760010,352.040009,348.850006,350.470001,349.032898,4303200
2022-12-28,350.420013,352.200012,345.899994,346.170013,344.750549,4464600
2022-12-29,348.910004,353.130005,348.470001,352.309998,350.865356,4086600
2022-12-30,349.790009,351.489990,347.760010,351.339996,349.899323,5325400
2023-01-03,353.179993,355.040009,347.190002,349.989990,348.554871,4957300
2023-01-04,352.100006,354.559998,349.200012,352.510010,351.064545,3119100
2023-01-05,350.730011,350.799988,348.059998,348.660004,347.230316,3216500
2023-01-06,351.589996,357.670013,348.739990,356.589996,355.127808,3464800
2023-01-09,358.730011,361.730011,356.220001,356.329987,354.868866,3775300
2023-01-10,355.839996,358.950012,354.959991,358.869995,357.398438,3495700
2023-01-11,360.410004,363.510010,359.660004,363.450012,361.959686,5710500
2023-01-12,364.480011,366.149994,360.600006,364.809998,363.314087,4743500
2023-01-13,361.679993,366.730011,361.470001,366.230011,364.728271,3015200
2023-01-17,366.190002,367.720001,364.869995,365.670013,364.170593,4942000
2023-01-18,366.670013,367.660004,359.579987,359.730011,358.254944,3931800
2023-01-19,357.760010,359.359985,355.850006,357.140015,355.675568,3569900
2023-01-20,358.450012,363.910004,356.880005,363.709991,362.218597,3265100
2023-01-23,364.510010,370.000000,363.649994,368.140015,366.630463,3243300
2023-01-24,366.570007,368.609985,365.420013,367.750000,366.242035,2702400
2023-01-25,363.779999,368.160004,361.660004,367.880005,366.371521,3061700
2023-01-26,370.459991,372.059998,367.609985,371.809998,370.285400,3460900
2023-01-27,370.890015,375.079987,370.760010,372.869995,371.341034,5549500
2023-01-30,370.149994,372.290009,367.859985,368.209991,366.700134,3280600
2023-01-31,368.609985,373.540009,368.329987,373.440002,371.908722,4181700
2023-02-01,372.440002,380.160004,369.760010,377.529999,375.981934,4941700
2023-02-02,381.250000,384.410004,379.399994,382.940002,381.369751,5207900
2023-02-03,378.230011,383.200012,377.790009,378.850006,377.296539,6472500
2023-02-06,376.579987,377.929993,375.019989,376.660004,375.115509,2880100
2023-02-07,375.790009,382.750000,374.619995,381.519989,379.955566,4504600
2023-02-08,379.690002,380.929993,376.730011,377.339996,375.792725,2921500
2023-02-09,380.970001,381.000000,372.950012,374.109985,372.575958,3327700
2023-02-10,373.000000,375.390015,372.200012,375.019989,373.482208,3256700
2023-02-13,375.649994,379.440002,375.200012,379.350006,377.794495,2980600
2023-02-14,377.959991,381.420013,375.450012,379.209991,377.655029,4718000
2023-02-15,377.149994,380.529999,376.329987,380.480011,378.919861,2820200
2023-02-16,375.660004,379.429993,375.089996,375.190002,373.651550,3077500
2023-02-17,373.179993,374.450012,371.320007,374.220001,372.685516,3285300
2023-02-21,370.399994,371.339996,366.480011,366.790009,365.285980,3109200
2023-02-22,367.179993,368.600006,364.839996,366.329987,364.827850,3872000
2023-02-23,369.070007,369.570007,364.130005,368.170013,366.660339,2867200
2023-02-24,363.309998,365.029999,361.730011,364.230011,362.736481,4055000
2023-02-27,367.489990,368.769989,364.589996,365.489990,363.991302,3300100
2023-02-28,365.010010,366.859985,364.049988,364.109985,362.616943,3022200
2023-03-01,363.339996,364.510010,361.450012,362.779999,361.292419,3764700
2023-03-02,360.809998,366.359985,360.529999,365.489990,363.991302,2727200
2023-03-03,367.290009,371.670013,366.700012,371.279999,369.757568,4913600
2023-03-06,372.260010,374.440002,371.299988,371.730011,370.205719,2638300
2023-03-07,371.630005,371.890015,365.390015,365.980011,364.479309,3546100
2023-03-08,366.109985,367.299988,364.440002,366.549988,365.046936,2906300
2023-03-09,367.350006,368.880005,358.850006,359.839996,358.364471,4409600
2023-03-10,359.329987,361.239990,353.140015,354.679993,353.225616,8360400
2023-03-13,350.760010,358.670013,349.760010,354.079987,352.628082,6478700
2023-03-14,358.880005,361.510010,355.630005,359.959991,358.483978,4798800
2023-03-15,354.459991,357.880005,352.570007,357.739990,356.273071,6610400
2023-03-16,355.540009,364.260010,354.989990,363.859985,362.367981,5016700
2023-03-17,362.760010,363.790009,358.420013,359.880005,358.404327,5189900
2023-03-20,360.470001,363.579987,359.820007,363.130005,361.640991,3099800
2023-03-21,366.420013,368.410004,364.880005,367.880005,366.371521,4117600
2023-03-22,367.779999,371.220001,361.660004,361.779999,360.296509,4094800
2023-03-23,364.480011,368.290009,360.119995,362.640015,361.153015,4787200
2023-03-24,359.980011,363.630005,357.720001,363.559998,363.559998,3740400
2023-03-27,365.730011,366.429993,363.399994,364.160004,364.160004,4144800
2023-03-28,363.540009,364.200012,361.679993,363.519989,363.519989,2413700
2023-03-29,367.399994,368.940002,366.290009,368.690002,368.690002,3636100
2023-03-30,371.230011,371.480011,369.100006,370.890015,370.890015,3316700
2023-03-31,371.779999,376.339996,371.649994,376.070007,376.070007,4159800
2023-04-03,375.600006,377.910004,375.220001,377.559998,377.559998,3525300
2023-04-04,378.190002,378.399994,374.130005,375.429993,375.429993,2713300
2023-04-05,374.709991,375.420013,372.890015,374.519989,374.519989,3227700
2023-04-06,373.670013,376.190002,372.720001,375.950012,375.950012,3076200
2023-04-10,373.549988,376.390015,372.959991,376.359985,376.359985,2671100
2023-04-11,376.899994,377.760010,375.690002,376.410004,376.410004,3069000
2023-04-12,378.399994,378.619995,374.320007,374.910004,374.910004,3624200
2023-04-13,375.910004,380.170013,375.440002,379.769989,379.769989,2680900
2023-04-14,379.269989,381.329987,376.720001,378.989990,378.989990,2981700
2023-04-17,378.839996,380.320007,377.679993,380.279999,380.279999,2721000
2023-04-18,381.839996,381.920013,379.239990,380.540009,380.540009,3019300
2023-04-19,378.730011,381.329987,378.670013,380.519989,380.519989,2671300
2023-04-20,377.779999,380.070007,376.940002,378.369995,378.369995,2953200
2023-04-21,378.679993,379.100006,376.820007,378.589996,378.589996,2762300
2023-04-24,378.480011,379.470001,377.230011,379.089996,379.089996,2310400
2023-04-25,377.179993,377.700012,373.019989,373.100006,373.100006,3795400
2023-04-26,373.660004,374.679993,370.980011,371.440002,371.440002,3766900
2023-04-27,373.890015,379.130005,373.670013,378.809998,378.809998,4302400
2023-04-28,378.040009,382.119995,378.000000,382.049988,382.049988,3386900
2023-05-01,381.730011,383.640015,381.519989,381.790009,381.790009,3069300
2023-05-02,381.059998,381.109985,374.670013,377.510010,377.510010,4311600
2023-05-03,377.910004,380.200012,374.600006,374.880005,374.880005,5513000
2023-05-04,373.839996,374.109985,370.920013,372.140015,372.140015,4421500
2023-05-05,375.739990,380.089996,375.429993,378.970001,378.970001,3134100
2023-05-08,379.410004,379.619995,377.880005,379.179993,379.179993,2957600
2023-05-09,377.709991,378.579987,377.329987,377.540009,377.540009,2271000
2023-05-10,380.279999,380.829987,375.640015,379.190002,379.190002,3512900
2023-05-11,378.470001,378.880005,376.670013,378.660004,378.660004,2676600
2023-05-12,379.850006,380.010010,375.839996,378.149994,378.149994,2530300
2023-05-15,378.739990,379.839996,376.910004,379.459991,379.459991,3882600
2023-05-16,378.390015,379.279999,376.910004,376.950012,376.950012,2275300
2023-05-17,378.850006,382.089996,377.279999,381.450012,381.450012,3222600
2023-05-18,381.260010,385.570007,381.000000,385.179993,385.179993,3340600
2023-05-19,386.019989,386.540009,383.440002,384.570007,384.570007,3646600
2023-05-22,384.660004,386.230011,383.470001,384.779999,384.779999,2784000
2023-05-23,383.190002,384.109985,380.079987,380.480011,380.480011,2887300
2023-05-24,378.910004,379.250000,376.570007,377.630005,377.630005,3611600
2023-05-25,380.989990,382.279999,378.920013,380.920013,380.920013,3315900
2023-05-26,381.640015,386.570007,381.540009,385.869995,385.869995,3042800
2023-05-30,387.760010,388.260010,384.760010,385.989990,385.989990,3968500
2023-05-31,384.309998,385.160004,382.420013,383.890015,383.890015,4205300
2023-06-01,384.200012,388.570007,382.970001,387.570007,387.570007,3563600
2023-06-02,390.079987,393.959991,389.540009,393.260010,393.260010,7365800
